aspiration,doornumber,enginelocation,cylindernumber,enginesize,horsepower,highwaympg,price
0,2,0,8,304,184,16,45400
0,2,0,6,209,182,22,41315
0,4,0,8,308,184,16,40960
0,2,1,6,194,207,25,37028
0,4,0,6,209,182,20,36880
0,2,0,12,326,262,17,36000
0,4,0,6,258,176,19,35550
0,2,0,8,234,155,18,35056
0,4,0,8,234,155,18,34184
0,2,1,6,194,207,25,34028
0,2,1,6,194,207,25,32528
0,4,0,6,258,176,19,32250
1,4,0,5,183,123,25,31600
0,2,0,8,203,288,28,31400.5
0,4,0,6,209,182,22,30760
1,4,0,5,183,123,25,28248
1,2,0,5,183,123,25,28176
1,4,0,5,183,123,25,25552
0,4,0,6,164,121,25,24565
1,4,0,5,131,140,20,23875
1,4,0,4,141,114,25,22625
1,4,0,6,145,106,27,22470
0,2,0,4,151,143,27,22018
0,4,0,6,173,134,23,21485
0,4,0,6,164,121,28,21105
0,2,0,6,164,121,28,20970
1,2,0,6,181,200,23,19699
1,4,0,4,141,160,25,19045
1,4,0,4,130,162,22,18950
0,4,0,5,136,110,25,18920
1,4,0,4,121,160,26,18620
1,4,0,4,130,162,22,18420
0,2,0,6,181,160,25,18399
0,4,0,4,134,72,39,18344
0,4,0,4,140,120,27,18280
1,4,0,4,134,142,24,18150
1,2,0,4,121,160,26,18150
1,4,0,4,152,95,33,17950
1,2,0,5,131,160,22,17859.17
0,4,0,5,136,110,25,17710
0,2,0,4,146,116,30,17669
0,4,0,5,136,115,22,17450
0,2,0,6,181,160,25,17199
1,4,0,4,152,95,25,17075
0,4,0,4,108,101,29,16925
1,4,0,4,152,95,33,16900
0,4,0,4,141,114,28,16845
0,4,0,4,120,95,24,16695
0,4,0,4,120,97,24,16630
0,2,0,6,171,161,24,16558
0,4,0,4,141,114,28,16515
1,2,0,4,140,175,24,16503
0,2,0,4,130,111,27,16500
0,2,0,6,152,154,26,16500
0,2,0,4,108,101,29,16430
0,2,0,6,171,161,24,15998
0,4,0,4,141,114,28,15985
0,4,0,6,161,156,24,15750
0,4,0,6,171,156,24,15690
0,2,0,2,80,135,23,15645
0,4,0,4,120,95,24,15580
0,4,0,4,121,110,28,15510
0,2,0,5,136,110,25,15250
0,2,0,4,121,110,28,15040
1,2,0,4,156,145,24,14869
1,2,0,4,156,145,24,14489
0,4,0,6,181,152,22,14399
0,4,0,4,109,102,30,13950
1,4,0,4,152,95,25,13860
1,4,0,4,97,68,38,13845
0,2,0,2,70,101,23,13645
0,4,0,6,181,152,22,13499
0,4,0,6,181,152,25,13499
0,2,0,4,130,111,27,13495
0,4,0,4,141,114,28,13415
0,4,0,5,136,110,24,13295
1,4,0,4,152,95,33,13200
1,2,0,4,156,145,24,12964
0,4,0,4,110,101,28,12945
0,4,0,4,141,114,28,12940
1,2,0,4,156,145,24,12764
1,2,0,4,156,145,24,12629
0,4,0,4,120,97,24,12440
0,4,0,4,109,88,31,12290
0,4,0,4,121,110,28,12170
0,4,0,4,120,97,24,11900
0,2,0,4,121,110,28,11850
0,2,0,2,70,101,23,11845
1,4,0,4,108,111,23,11694
0,2,0,4,109,90,29,11595
0,2,0,4,146,116,30,11549
1,4,0,4,108,111,29,11259
0,4,0,4,122,92,32,11248
0,4,0,4,122,84,32,11245
0,2,0,4,146,116,30,11199
0,2,0,4,119,90,29,11048
0,2,0,2,70,101,23,10945
0,4,0,4,122,92,32,10898
0,4,0,4,122,64,42,10795
1,4,0,4,110,73,33,10698
0,2,0,4,122,84,32,10595
0,2,0,4,110,100,31,10345
0,4,0,4,110,86,33,10295
0,4,0,4,122,84,32,10245
